Microchip,Weight,Headwidth,TrapID,year,month,dftd,breed,agecat,Fhat3
982000123211274,5.2,101,FNP107,2011,8,0,0,1year,-0.104864
982000190533071,6.9,105,FNP044,2012,12,1,1,Adult,-0.0459495
982000190607744,5.6,101,FNP054,2012,11,1,1,1year,-0.0432436
982000356426095,6.3,99,FNP087,2014,12,0,1,Adult,-0.35063
982000356426095,8.4,108,FNP108,2015,6,0,1,Adult,-0.35063
982000356486107,8,106.5,FNP091,2015,9,0,1,1year,-0.014562
982000356492284,8.3,108.7,FNP101,2016,10,1,1,Adult,-0.334448
982000356492284,8.4,97,FNP073,2014,12,0,1,1year,-0.334448
982000356492284,8.9,106,FNP089,2015,6,0,1,Adult,-0.334448
982000356583094,8,105.4,FNP046,2015,10,1,1,Adult,-0.300629
982000356583094,6.7,92,FNP045,2014,12,0,0,1year,-0.300629
982000356587277,7.9,101,FNP021,2014,11,0,1,Adult,-0.00732172
982000356587277,8.3,108.8,FNP033,2015,10,0,1,Adult,-0.00732172
982000356587302,7.8,103,FNP045,2014,12,0,1,1year,-0.085483
982000356587455,9.4,111.8,FNP033,2016,10,0,1,Adult,-0.343132
982000356587455,8.1,103,FNP033,2015,6,0,1,1year,-0.343132
982000356587526,5.6,103.7,NA,2015,11,1,1,Adult,-0.276141
982000356587526,6.9,97,FNP058,2014,12,0,0,1year,-0.276141
982000356587577,6.8,106,FNP043,2015,6,0,1,Adult,0.0168103
982000356587577,7.1,94,FNP060,2014,12,0,1,1year,0.0168103
982000356655539,7.2,97,FNP037,2014,11,0,1,Adult,-0.0572856
982000356655539,7.6,110.4,FNP084,2015,9,0,1,Adult,-0.0572856
982000356655539,8.2,110.9,FNP100,2016,6,0,1,Adult,-0.0572856
982000362816259,5.3,96,FNP056,2015,7,0,0,1year,-0.00978608
982000362816535,7,103.4,FNP039,2016,9,0,1,Adult,0.0304754
982000362826727,8.3,109.1,FNP077,2015,9,0,1,Adult,0.151402
982000363010995,6.1,96,FNP085,2015,6,0,0,1year,-0.00742435
