Microchip,Weight,Headwidth,TrapID,year,month,dftd,breed,agecat
900164001721678,5.8,97.6,FNP090,2019,12,1,0,1year
900164001721679,6.8,94.6,FNP078,2019,9,1,1,1year
900164001721693,6.5,97.1,FNP103,2019,12,1,1,Adult
982000123211274,5.2,101,FNP107,2011,8,0,0,1year
982000190531286,5.1,102,FNP107,2012,9,0,0,1year
982000190533071,6.9,105,FNP044,2012,12,1,1,Adult
982000190602511,7.2,105,FNP065,2012,12,0,1,Adult
982000190602511,6.4,106,FNP073,2013,10,1,1,Adult
982000190604384,5.6,100,FNP050,2012,11,0,1,1year
982000190604577,8.6,113.9,NA,2015,10,0,0,Adult
982000190604577,5.5,109,FNP061,2012,12,0,1,1year
982000190604577,7.5,106,FNP093,2013,10,0,1,Adult
982000190607744,5.6,101,FNP054,2012,11,1,1,1year
982000190701241,7.2,103,FNP117,2012,9,1,1,1year
982000356426081,8.5,118.4,FNP103,2016,10,1,1,Adult
982000356426081,5.8,99,FNP102,2015,6,0,1,1year
982000356426095,8.4,108,FNP108,2015,6,0,1,Adult
982000356426095,6.3,99,FNP087,2014,12,0,1,Adult
982000356486107,8,106.5,FNP091,2015,9,0,1,1year
982000356492284,8.3,108.7,FNP101,2016,10,1,1,Adult
982000356492284,8.9,106,FNP089,2015,6,0,1,Adult
982000356492284,8.4,97,FNP073,2014,12,0,1,1year
982000356582349,7.2,96,FNP060,2014,12,0,1,1year
982000356583094,8,105.4,FNP046,2015,10,1,1,Adult
982000356583094,6.7,92,FNP045,2014,12,0,0,1year
982000356587277,8.3,108.8,FNP033,2015,10,0,1,Adult
982000356587277,7.9,101,FNP021,2014,11,0,1,Adult
982000356587302,7.8,103,FNP045,2014,12,0,1,1year
982000356587455,9.4,111.8,FNP033,2016,10,0,1,Adult
982000356587455,8.1,103,FNP033,2015,6,0,1,1year
982000356587526,5.6,103.7,NA,2015,11,1,1,Adult
982000356587526,6.9,97,FNP058,2014,12,0,0,1year
982000356587577,6.8,106,FNP043,2015,6,0,1,Adult
982000356587577,7.1,94,FNP060,2014,12,0,1,1year
982000356587802,8,105,FNP032,2015,8,0,1,1year
982000356587802,10.6,111.6,FNP030,2018,8,1,1,Adult
982000356587802,9,107,FNP028,2017,11,0,1,Adult
982000356655539,7.6,110.4,FNP084,2015,9,0,1,Adult
982000356655539,8.2,110.9,FNP100,2016,6,0,1,Adult
982000356655539,7.2,97,FNP037,2014,11,0,1,Adult
982000362816259,5.3,96,FNP056,2015,7,0,0,1year
982000362816535,7,103.4,FNP039,2016,9,0,1,Adult
982000362816598,7,100.5,FNP090,2016,8,1,1,1year
982000362826727,8.3,109.1,FNP077,2015,9,0,1,Adult
982000362833456,5.9,103.1,FNP084,2016,12,1,1,1year
982000363000578,5.6,96.9,FNP083,2016,8,0,0,1year
982000363000578,6.5,97,FNP083,2017,6,0,1,Adult
982000363000578,6.8,104.3,FNP083,2018,11,0,1,Adult
982000363007014,6.5,99.9,FNP083,2016,6,0,0,1year
982000363007478,6.7,101.1,FNP056,2016,9,0,1,1year
982000363010995,6.1,96,FNP085,2015,6,0,0,1year
982000363016881,6,100.3,FNP008,2015,10,0,0,1year
982000363016905,9.1,108.9,FNP018,2018,8,0,1,Adult
982000363016905,6,100,FNP016,2015,8,0,1,1year
982000363016905,7.7,104.9,FNP025,2016,7,0,1,Adult
